Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Urfa Keme Boranısı Yemeği/Şanlıurfa Keme Boranısı Yemeği;C2014/039;10.06.2014;450;4.09.2019;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Keten Köyneği Fıstığı / Şanlıurfa Keten Köyneği Fıstığı;C2020/469;31.12.2020;1224;16.09.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Kıymalı Söğürme / Şanlıurfa Kıymalı Söğürme;C2014/037;10.06.2014;411;29.01.2019;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Lebenisi;C2014/053;21.07.2014;320;29.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Meyan Şerbeti (Biyanbalı);C2013/061;2.05.2013;202;8.12.2016;Mahreç İşareti;Alkolsüz içecekler;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Miftahi Tas Kebabı/ Şanlıurfa Miftahi Tas Kebabı;C2021/000553;30.12.2021;1135;6.06.2022;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Pendirli Kedeyif / Şanlıurfa Peynirli Kadayıf;C2021/000388;30.09.2021;1288;13.12.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa;Şanlıurfa Büyükşehir Belediyesi;Tescilli
Urfa Peyniri / Şanlıurfa Peyniri;C2018/188;1.10.2018;807;27.07.2021;Mahreç İşareti;Peynirler;Şanlıurfa;Şanlıurfa Ticaret Borsası;Tescilli
Urfa Sac Kavurması / Şanlıurfa Sac Kavurması;C2014/036;10.06.2014;510;24.07.2020;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Sini Darahlığı/ Şanlıurfa Sini Taraklığı;C2021/000315;19.08.2021;1319;23.01.2023;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Büyükşehir Belediyesi;Tescilli
Urfa Soğan Kebabı / Şanlıurfa Soğan Kebabı;C2013/058;2.05.2013;404;27.12.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Tiriti (Şanlıurfa Tiriti);C2017/107;24.08.2017;382;3.09.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Yumurtalı Köfte;C2014/040;10.06.2014;318;29.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Zerdesi (Şanlıurfa Zerdesi);C2017/089;16.08.2017;296;27.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa İçli Köftesi;C2017/108;24.08.2017;383;3.09.2018;Mahreç İşareti;Yemekler ve çorbalar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urfa Şıllık Tatlısı (Şanlıurfa Şıllık Tatlısı);C2017/050;5.07.2017;232;20.11.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa;Şanlıurfa Ticaret ve Sanayi Odası;Tescilli
Urla Sakız Enginarı;C2017/075;3.08.2017;245;24.11.2017;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;İzmir Ticaret Borsası;Tescilli
Uzunköprü Köftesi;C2023/000107;15.03.2023;1777;22.09.2025;Mahreç İşareti;Yemekler ve çorbalar;Edirne;Uzunköprü Ticaret ve Sanayi Odası;Tescilli
Uşak Baklavası;C2021/050;31.01.2021;1165;8.07.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak;Uşak Ticaret ve Sanayi Odası;Tescilli
Uşak Gelin Helvası / Uşak Gelin Tatlısı;C2021/000328;26.08.2021;1083;18.04.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak;Uşak Ticaret ve Sanayi Odası;Tescilli
Uşak Halısı;C2010/004;7.01.2010;152;7.02.2012;Mahreç İşareti;Halılar ve kilimler;Uşak;Uşak Ticaret ve Sanayi Odası;Tescilli
Uşak Haşhaş Ezmesi;C2021/025;24.01.2021;1188;4.08.2022;Mahreç İşareti;Diğer ürünler;Uşak;Uşak Ticaret ve Sanayi Odası;Tescilli
Uşak Helvası;C2021/051;31.01.2021;1088;20.04.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak;Uşak Ticaret ve Sanayi Odası;Tescilli
Uşak Tarhanası;C2015/015;23.02.2015;209;21.03.2017;Menşe Adı;Yemekler ve çorbalar;Uşak;Uşak İl Özel İdaresi;Tescilli
Uşak Ulubey Zini Hamursuzu;C2024/000064;13.02.2024;1774;9.09.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak;Uşak Ticaret ve Sanayi Odası;Tescilli
Vakfıkebir Ekmeği;C2017/213;30.11.2017;372;3.08.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Trabzon;Vakfıkebir Belediyesi;Tescilli
Vakfıkebir Külek Peyniri;C2018/129;25.06.2018;764;25.05.2021;Mahreç İşareti;Peynirler;Trabzon;Vakfıkebir Belediyesi;Tescilli
Van Acem Köftesi;C2024/000215;12.08.2024;1710;5.03.2025;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Ayran Aşı;C2021/000068;15.02.2021;1107;11.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Erişte Aşı;C2024/000217;12.08.2024;1712;5.03.2025;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Gölü İnci Kefali;C2024/000178;26.06.2024;1719;10.04.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Van;Doğu Anadolu Kalkınma Ajansı;Tescilli
Van Gül Reçeli;C2018/220;29.11.2018;505;16.07.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van;Van Yüzüncü Yıl Üniversitesi;Tescilli
Van Helise Yemeği;C2024/000218;12.08.2024;1713;5.03.2025;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Kahvaltısı;C2018/219;29.11.2018;504;16.07.2020;Mahreç İşareti;Diğer ürünler;Van;Van Yüzüncü Yıl Üniversitesi;Tescilli
Van Kavut;C2017/159;25.10.2017;390;25.10.2018;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Keledoşu;C2017/087;15.08.2017;229;8.11.2017;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Kürt Köftesi;C2021/000159;5.04.2021;1238;7.10.2022;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Otlu Peyniri;C2017/070;28.07.2017;405;31.12.2018;Menşe Adı;Peynirler;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Pastası;C2019/070;17.06.2019;805;16.07.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Savatlı Gümüş İşlemesi;C2017/071;28.07.2017;242;23.11.2017;Menşe Adı;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Sengeseri;C2021/000082;26.02.2021;958;26.11.2021;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Van Tava Yemeği;C2024/000216;12.08.2024;1711;5.03.2025;Mahreç İşareti;Yemekler ve çorbalar;Van;Van Ticaret ve Sanayi Odası;Tescilli
Velimeşe Bozası;C2020/136;18.06.2020;721;13.04.2021;Mahreç İşareti;Alkolsüz içecekler;Tekirdağ;Ergene Belediyesi, Ergene Kaymakamlığı;Tescilli
Vezirköprü Semaveri;C2017/146;26.09.2017;299;27.12.2017;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Samsun;Vezirköprü Belediyesi;Tescilli
Vezirköprü Susuz Bezi;C2018/135;25.06.2018;476;23.12.2019;Mahreç İşareti;Dokumalar;Samsun;Vezirköprü Belediyesi;Tescilli
Vezirköprü Tahtaköprü Kilimi;C2018/136;25.06.2018;477;23.12.2019;Mahreç İşareti;Halılar ve kilimler;Samsun;Vezirköprü Belediyesi;Tescilli
Yahyalı El Halısı;C1996/023;21.06.1996;18;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kayseri;Yahyalı Belediyesi;Tescilli
Yakakent Mantısı;C2017/074;8.08.2017;251;1.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Samsun;Yakakent Belediyesi;Tescilli
Yalova Aronyası;C2019/171;8.11.2019;786;24.06.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Yalova;Yalova İl Tarım ve Orman Müdürlüğü;Tescilli
Yalova Kestane Balı;C2020/138;23.06.2020;1525;23.01.2024;Mahreç İşareti;Bal;Yalova;Yalova İli Arı Yetiştiricileri Birliği;Tescilli
Yalova Kivisi;C2020/216;10.08.2020;851;17.08.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Yalova;Yalova İl Tarım ve Orman Müdürlüğü;Tescilli
Yalvaç Hamursuzu;C2018/113;17.05.2018;487;27.02.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Isparta;Yalvaç Ticaret ve Sanayi Odası;Tescilli
Yalıköy Köftesi;C2021/000295;30.07.2021;1012;26.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Ordu;Ordu Büyükşehir Belediyesi;Tescilli
Yamula Patlıcanı;C2007/016;27.11.2007;138;25.02.2010;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri;Kocasinan Belediyesi;Tescilli
Yapraklı Panayır Helvası;C2023/000123;22.03.2023;1561;29.03.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Yapraklı Belediyesi;Tescilli
Yassıçal Çuha Dokuması;C2021/000534;22.12.2021;1411;14.07.2023;Mahreç İşareti;Dokumalar;Amasya;Amasya Ticaret ve Sanayi Odası;Tescilli
Yağcıbedir El Halısı;C1996/022;21.06.1996;17;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Balıkesir;Sındırgı Belediyesi;Tescilli
Yağlılar Basma Helvası;C2021/000441;25.10.2021;1342;27.02.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir;İvrindi Belediyesi;Tescilli
Yedisu Horoz Kuru Fasulyesi;C2019/040;27.03.2019;670;12.02.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bingöl;Bingöl İl Tarım ve Orman Müdürlüğü;Tescilli
Yenice Ihlamur Balı;C2022/000446;14.12.2022;1456;22.08.2023;Menşe Adı;Bal;Karabük;Yenice Kaymakamlığı;Tescilli
Yenice Kırmızı Biberi;C2020/080;13.03.2020;692;10.03.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale;Yenice Ziraat Odası;Tescilli
Yenihan Bebekleri;C2018/043;9.02.2018;565;9.10.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Sivas;Yıldızeli Kaymakamlığı;Tescilli
Yenipazar Pidesi;C2023/000174;16.06.2023;1637;5.09.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın;Aydın Büyükşehir Belediyesi;Tescilli
Yenişehir Biberi;C2021/000540;28.12.2021;1263;24.11.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;T.C. Bursa İli Hayvancılığı Geliştirme Birliği, Bursa Yenişehir Belediyesi;Tescilli
Yeşilyurt Kiraz Yaprağı Sarma Köftesi / Yeşilyurt Kiraz Yaprağı Sarması;C2019/023;1.03.2019;570;9.10.2020;Mahreç İşareti;Yemekler ve çorbalar;Malatya;Yeşilyurt Belediyesi;Tescilli
Yomra Elması;C2020/053;17.02.2020;626;15.12.2020;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Trabzon;Yomra Belediyesi;Tescilli
Yozgat Arabaşısı;C2011/023;14.03.2011;178;27.12.2013;Mahreç İşareti;Yemekler ve çorbalar;Yozgat;Yozgat Belediyesi;Tescilli
Yozgat Aydıncık Bağrıbütün Kavunu;C2019/027;11.03.2019;524;25.08.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Yozgat;Aydıncık Belediyesi;Tescilli
Yozgat Desti Kebabı;C2022/000337;7.10.2022;1471;19.09.2023;Mahreç İşareti;Yemekler ve çorbalar;Yozgat;Yozgat Belediyesi;Tescilli
Yozgat Parmak Çöreği;C2011/024;14.03.2011;179;27.12.2013;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Yozgat;Yozgat Belediyesi;Tescilli
Yozgat Tandır Kebabı;C2017/019;24.03.2017;265;7.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Yozgat;Yozgat Belediyesi;Tescilli
Yozgat Çanak Peyniri;C2011/026;14.03.2011;281;18.12.2017;Mahreç İşareti;Peynirler;Yozgat;Yozgat Belediyesi;Tescilli
Yufkalı Konuralp Pilavı;C2020/302;18.09.2020;750;7.05.2021;Mahreç İşareti;Yemekler ve çorbalar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Yumurta Topuk Çarşamba Ayakkabısı / Çarşamba Ayakkabısı;C2019/136;27.09.2019;572;9.10.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Samsun;Çarşamba Belediyesi;Tescilli
Yuntdağı El Halısı;C1996/016;21.06.1996;11;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Manisa;Manisa Büyükşehir Belediyesi;Tescilli
Yüksekova Çirek Peyniri;C2020/055;11.02.2020;1086;18.04.2022;Mahreç İşareti;Peynirler;Hakkari;Yüksekova Ticaret ve Sanayi Odası;Tescilli
Zara Balı;C2020/420;27.11.2020;1095;26.04.2022;Mahreç İşareti;Bal;Sivas;Zara Ziraat Odası;Tescilli
Zara Sac Ekmeği;C2020/418;25.11.2020;969;9.12.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sivas;Zara Ziraat Odası;Tescilli
Zeyniler Hınkalı;C2023/000212;18.08.2023;1540;15.02.2024;Mahreç İşareti;Yemekler ve çorbalar;Bursa;Sınırlı Sorumlu Zeyniler Çalıkuşu Kadınlar Tarımsal Kalkınma Kooperatifi;Tescilli
Zile Beji Mermeri;C2019/172;8.11.2019;1326;26.01.2023;Menşe Adı;Diğer ürünler;Tokat;Zile Ticaret ve Sanayi Odası;Tescilli
Zile Kömesi;C2014/024;14.03.2014;224;1.11.2017;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Tokat;Zile Ticaret ve Sanayi Odası;Tescilli
Zile Pekmezi;C2006/029;20.10.2006;118;17.11.2009;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Tokat;Zile Ticaret Borsası;Tescilli
Zivania / Zivaniya;C2017/052;11.07.2017;485;27.02.2020;Menşe Adı;Biralar ve diğer alkollü içkiler;Yurtdışı;Kıbrıs Türk Sanayi Odası;Tescilli
Zonguldak Malay Yemeği;C2022/000392;14.11.2022;1443;7.08.2023;Mahreç İşareti;Yemekler ve çorbalar;Zonguldak;Zonguldak Ticaret ve Sanayi Odası;Tescilli
Zonguldak Zılbıt Yemeği;C2022/000391;14.11.2022;1444;7.08.2023;Mahreç İşareti;Yemekler ve çorbalar;Zonguldak;Zonguldak Ticaret ve Sanayi Odası;Tescilli
Çakallı Menemeni;C2019/105;7.08.2019;G1;25.02.2020;Geleneksel Ürün Adı;Yemekler ve çorbalar;;Samsun Ticaret Borsası;Tescilli
Çakıl Kestanesi;C2023/000255;18.10.2023;1635;2.09.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Bandırma Ticaret Odası;Tescilli
Çameli Elmalı Bezi;C2019/034;14.03.2019;603;23.11.2020;Mahreç İşareti;Dokumalar;Denizli;Çameli Belediyesi;Tescilli
Çameli Fasulyesi;C2016/104;24.11.2016;368;27.07.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli;Çameli Belediyesi;Tescilli
Çameli Kilimi;C2019/035;14.03.2019;604;23.11.2020;Mahreç İşareti;Halılar ve kilimler;Denizli;Çameli Belediyesi;Tescilli
Çamlıdere Höşmerim Tatlısı;C2020/167;2.07.2020;691;10.03.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara;Ankara Ticaret Odası;Tescilli
Çamoluk Şeker Kuru Fasulyesi;C2017/198;21.11.2017;348;2.05.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun;Çamoluk Belediyesi;Tescilli
Çanakkale Domatesi;C2022/000012;13.01.2022;1410;13.07.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale;Çanakkale Ticaret Borsası;Tescilli
Çanakkale El Halısı;C1996/024;21.06.1996;19;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Çanakkale;Çanakkale Belediyesi;Tescilli
Çankırı Bütün Et;C2020/452;30.12.2020;1399;4.07.2023;Mahreç İşareti;Yemekler ve çorbalar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Cimcik Hamuru Çorbası;C2020/460;30.12.2020;1128;27.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Ehlibilir;C2020/417;24.11.2020;1206;5.09.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Hameyli Tatlısı;C2020/458;30.12.2020;1192;16.08.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Höşmerim Tatlısı;C2020/310;22.09.2020;783;17.06.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Kaya Tuzu;C2017/171;6.11.2017;1377;6.06.2023;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Kesme Kadayıfı;C2020/453;30.12.2020;1321;23.01.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Küpecik Peyniri;C2018/005;29.12.2017;907;1.10.2021;Mahreç İşareti;Peynirler;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Kıymalısı / Çankırı Kapalı Pidesi;C2020/415;24.11.2020;1243;21.10.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Pıhtı;C2020/416;24.11.2020;983;23.12.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Sarımsaklı Et;C2017/120;14.08.2017;444;25.07.2019;Mahreç İşareti;Yemekler ve çorbalar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Tutmaç Çorbası;C2020/309;22.09.2020;778;1.06.2021;Mahreç İşareti;Yemekler ve çorbalar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Yazma Çöreği;C2020/451;30.12.2020;1320;23.01.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Yoka (İnce) Ekmek Muskası;C2017/119;14.08.2017;488;3.03.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çankırı Yumurta Tatlısı;C2017/121;14.08.2017;280;18.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çankırı Belediyesi;Tescilli
Çarşamba Keşkeği;C2022/000361;1.11.2022;1495;14.11.2023;Mahreç İşareti;Yemekler ve çorbalar;Samsun;Çarşamba Belediyesi;Tescilli
Çarşamba Kıvratması;C2020/088;17.03.2020;751;10.05.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun;Çarşamba Ticaret ve Sanayi Odası;Tescilli
Çarşamba Pidesi;C2017/001;22.12.2016;333;21.03.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Samsun;Çarşamba Ticaret Borsası;Tescilli
Çarşamba Sekiz Köşe Kasketi / Çarşamba Kasketi;C2019/135;27.09.2019;571;9.10.2020;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Samsun;Çarşamba Belediyesi;Tescilli
Çarşıbaşı Keşanı;C2004/008;8.06.2004;103;11.11.2008;Mahreç İşareti;Dokumalar;Trabzon;Çarşıbaşı Kaymakamlığı;Tescilli
Çatak Cevizi;C2020/308;21.09.2020;823;6.08.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van;Van İl Tarım ve Orman Müdürlüğü;Tescilli
Çatalca Ormanlı Pirinci;C2022/000181;9.06.2022;1639;17.09.2024;Menşe Adı;Diğer ürünler;İstanbul;İstanbul İl Tarım ve Orman Müdürlüğü;Tescilli
Çatalzeytin Fındık Şekeri;C2018/097;30.03.2018;734;24.04.2021;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Kastamonu;Çatalzeytin Belediyesi;Tescilli
Çavuşdağı Kuru Fasulyesi;C2019/084;16.07.2019;816;2.08.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;Ödemiş Ticaret Odası;Tescilli
Çavuşlu Ekmeği;C2018/102;20.04.2018;623;9.12.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Giresun;Görele Belediyesi;Tescilli
Çay İlçesi Vişnesi;C2005/027;21.10.2005;91;10.09.2007;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Afyonkarahisar;Çay Belediyesi;Tescilli
Çaycuma Manda Yoğurdu;C2018/015;15.01.2018;496;8.05.2020;Menşe Adı;Peynirler ve tereyağı dışında kalan süt ürünleri;Zonguldak;Çaycuma Ticaret ve Sanayi Odası;Tescilli
Çayeli Koloti Peyniri;C2020/411;20.11.2020;1199;24.08.2022;Menşe Adı;Peynirler;Rize;Çayeli İlçe Tarım ve Orman Müdürlüğü;Tescilli
Çayeli Kuru Fasulye Yemeği;C2017/036;27.04.2017;312;2.01.2018;Mahreç İşareti;Yemekler ve çorbalar;Rize;Çayeli Ticaret ve Sanayi Odası;Tescilli
Çağlayancerit Cevizi;C2012/010;21.12.2011;175;30.07.2013;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş;Çağlayancerit Ziraat Odası;Tescilli
Çelikhan Tütünü;C2002/006;12.04.2002;66;29.05.2005;Menşe Adı;Tütün;Adıyaman;Çelikhan Köylere Hizmet Gönderme Birliği;Tescilli
Çemişgezek Ulukale Dutu;C2017/152;4.10.2017;423;8.03.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tunceli;Tunceli İl Tarım ve Orman Müdürlüğü;Tescilli
Çerkeş Badıma Bükmesi;C2023/000142;18.04.2023;1605;3.07.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çerkeş Belediyesi;Tescilli
Çerkeş Kurabiyesi;C2022/000270;25.08.2022;1378;6.06.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çerkeş Belediyesi;Tescilli
Çerkeş Lokumu;C2023/000143;19.04.2023;1607;3.07.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çerkeş Belediyesi;Tescilli
Çerkeş Pırasa Dolması;C2023/000139;17.04.2023;1557;7.03.2024;Mahreç İşareti;Yemekler ve çorbalar;Çankırı;Çerkeş Belediyesi;Tescilli
Çerkeş Su Böreği;C2022/000415;24.11.2022;1396;3.07.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Çerkeş Belediyesi;Tescilli
